ok  	orquesta	1.000s
ok  	orquesta/acceptance	4.846s
ok  	orquesta/internal/goal	0.009s
ok  	orquesta/internal/governance	0.003s
ok  	orquesta/internal/identity	0.003s
ok  	orquesta/internal/config	0.312s
ok  	orquesta/internal/credentials	0.005s
ok  	orquesta/internal/application	0.042s
ok  	orquesta/internal/ports	0.003s
ok  	orquesta/internal/adapters/agent/fake	0.003s
ok  	orquesta/internal/adapters/agent/codex	1.038s
ok  	orquesta/internal/adapters/state/sqlite	33.397s
ok  	orquesta/internal/adapters/workspace/gitlocal	1.856s
ok  	orquesta/internal/bootstrap	7.471s
ok  	orquesta/cmd/orquesta	0.003s
ok  	orquesta/internal/application	1.068s
ok  	orquesta/internal/ports	1.010s
ok  	orquesta/internal/adapters/state/sqlite	57.790s
ok  	orquesta/internal/adapters/workspace/gitlocal	2.068s
ok  	orquesta/internal/adapters/agent/codex	3.040s
ok  	orquesta/internal/bootstrap	62.379s
